seed,max_yield_index,done_index,max_yield
2692,70,70,99.99246091271331
2693,65,65,99.99246091271331
2694,75,75,99.99246091271331
2695,55,55,99.99248331149631
2696,60,60,99.99246091271331
2697,80,80,99.99248331149631
2698,8,8,99.99248331149631
2699,65,65,99.99246091271331
2700,70,70,99.99246091271331
2701,60,60,99.99246091271331
2702,60,60,99.99248331149631
2703,45,45,99.99246091271331
2704,40,40,99.99246091271331
2705,65,65,99.99248331149631
2706,70,70,99.99246091271331
2707,60,60,99.99246091271331
2708,65,65,99.99246091271331
2709,65,65,99.99246091271331
2710,65,65,99.99246091271331
2711,70,70,99.99246091271331
2712,65,65,99.99248331149631
2713,55,55,99.99246091271331
2714,5,5,99.99246091271331
2715,35,35,99.99248331149631
2716,50,50,99.99246091271331
2717,70,70,99.99248331149631
2718,60,60,99.99248331149631
2719,35,35,99.99248331149631
2720,65,65,99.99246091271331
2721,45,45,99.99246091271331
2722,70,70,99.99246091271331
2723,70,70,99.99248331149631
2724,55,55,99.99246091271331
2725,55,55,99.99248331149631
2726,70,70,99.99248331149631
2727,65,65,99.99246091271331
2728,70,70,99.99248331149631
2729,4,4,99.99246091271331
2730,65,65,99.99246091271331
2731,50,50,99.99248331149631
2732,55,55,99.99246091271331
2733,70,70,99.99246091271331
2734,70,70,99.99246091271331
2735,85,85,99.99246091271331
2736,1,1,99.99246091271331
2737,25,25,99.99246091271331
2738,80,80,99.99246091271331
2739,65,65,99.99246091271331
2740,75,75,99.99248331149631
2741,60,60,99.99246091271331
2742,60,60,99.99246091271331
2743,5,5,99.99246091271331
2744,70,70,99.99246091271331
2745,65,65,99.99246091271331
2746,65,65,99.99248331149631
2747,60,60,99.99246091271331
2748,60,60,99.99248331149631
2749,75,75,99.99248331149631
2750,70,70,99.99246091271331
2751,60,60,99.99248331149631
2752,70,70,99.99246091271331
2753,45,45,99.99248331149631
2754,45,45,99.99248331149631
2755,65,65,99.99248331149631
2756,55,55,99.99248331149631
2757,25,25,99.99248331149631
2758,70,70,99.99246091271331
2759,65,65,99.99248331149631
2760,65,65,99.99248331149631
2761,60,60,99.99246091271331
2762,60,60,99.99246091271331
2763,50,50,99.99246091271331
2764,60,60,99.99248331149631
2765,60,60,99.99248331149631
2766,60,60,99.99248331149631
